broad_sample	broad_id	pert_iname	InChIKey14	moa	target	broad_date	clinical_phase	alternative_moa	alternative_target
BRD-A00147595-001-01-5	BRD-A00147595	balaglitazone	IETKPTYAGKZLKY	insulin sensitizer|PPAR receptor partial agonist	PPARG	broad_id_20170327	Phase 3		
BRD-A00218260-001-03-4	BRD-A00218260	flutrimazole	QHMWCHQXCUNUAK	sterol demethylase inhibitor		broad_id_20170327	Launched		
BRD-A00376169-001-01-6	BRD-A00376169	KBG	FOLRUCXBTYDAQK	neprilysin inhibitor	MME	broad_id_20170327	Phase 2		
BRD-A00546892-001-02-6	BRD-A00546892	biperiden	YSXKPIUOCJLQIE	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	broad_id_20170327	Launched		
BRD-A00938334-001-01-3	BRD-A00938334	drospirenone	METQSPRSQINEEU	mineralocorticoid receptor antagonist	AR|NR3C2|PGR	broad_id_20170327	Launched		
BRD-A01636364-003-15-1	BRD-A01636364	bupivacaine	LEBVLXFERQHONN	sodium channel blocker	KCNA5|SCN10A	broad_id_20170327	Launched		
BRD-A01787639-003-16-9	BRD-A01787639	naftopidil	HRRBJVNMSRJFHQ	adrenergic receptor antagonist	ADRA1A	broad_id_20170327	Launched		
BRD-A02006392-001-10-7	BRD-A02006392	nitrendipine	PVHUJELLJLJGLN	calcium channel blocker	CACNA1D|CACNA2D1|KCNN4	broad_id_20170327	Launched		
BRD-A02367930-001-04-5	BRD-A02367930	ethinyl-estradiol	BFPYWIDHMRZLRN	estrogen receptor agonist|estrogenic hormone	ESR1|ESR2|NR1I2	broad_id_20170327	Launched		
BRD-A02710418-003-11-8	BRD-A02710418	meptazinol	JLICHNCFTLFZJN	opioid receptor agonist	BCHE	broad_id_20170327	Launched		
BRD-A02990301-003-06-6	BRD-A02990301	lofexidine	KSMAGQUYOIHWFS	adrenergic receptor agonist		broad_id_20170327	Launched		
BRD-A03061970-003-07-3	BRD-A03061970	alizapride	KSEYRUGYKHXGFW	dopamine receptor antagonist		broad_id_20170327	Launched		
BRD-A03216249-003-24-3	BRD-A03216249	mepivacaine	INWLQCZOYSRPNW	potassium channel blocker|sodium channel blocker		broad_id_20170327	Launched		
BRD-A03249105-001-01-9	BRD-A03249105	fulvestrant	VWUXBMIQPBEWFH	estrogen receptor antagonist	ESR1|ESR2|GPER1	broad_id_20170327	Launched		
BRD-A03506276-001-01-5	BRD-A03506276	XL888	LHGWWAFKVCIILM	HSP inhibitor		broad_id_20170327	Phase 1		
BRD-A03623303-045-09-5	BRD-A03623303	metoprolol	IUBSYMUCCVWXPE	adrenergic receptor antagonist	ADRB1|ADRB2	broad_id_20170327	Launched		
BRD-A04352665-001-05-3	BRD-A04352665	maraviroc	GSNHKUDZZFZSJB	CC chemokine receptor antagonist	CCR5	broad_id_20170327	Launched		
BRD-A04553218-050-16-2	BRD-A04553218	chlorphenamine	SOYKEARSMXGVTM	histamine receptor antagonist		broad_id_20170327	Launched		
BRD-A05186015-003-19-8	BRD-A05186015	bupropion	SNPPWIUOZRMYNY	dopamine reuptake inhibitor	SLC6A2|SLC6A3	broad_id_20170327	Launched		
BRD-A05334458-001-02-8	BRD-A05334458	lisofylline	NSMXQKNUPPXBRG	interleukin receptor antagonist|STAT inhibitor		broad_id_20170327	Phase 2		
BRD-A05457250-001-05-0	BRD-A05457250	BAY-K-8644-(+/-)	ZFLWDHHVRRZMEI	L-type calcium channel blocker		broad_id_20170327	Preclinical	L-type calcium channel activator	CACNA1C
BRD-A05523972-001-01-5	BRD-A05523972	telmesteine	XBJWOGLKABXFJE	mucolytic agent		broad_id_20170327	Launched		
