pert_id	pert_iname	moa	target
BRD-K76022557	(R)-(-)-apomorphine	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A
BRD-K75516118	(R)-(-)-rolipram	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D|PDE5A
BRD-K62353271	(R)-baclofen	benzodiazepine receptor agonist	GABBR1|GABBR2
BRD-K65856711	(S)-(+)-rolipram	phosphodiesterase inhibitor	PDE4B|PDE4D
BRD-K89787693	[sar9,met(o2)11]-substance-p	tachykinin antagonist	TACR1
BRD-K70329400	A-1070722	glycogen synthase kinase inhibitor	GSK3A|GSK3B
BRD-K59060513	A-1120	retinoid receptor ligand	RBP4
BRD-K38019854	A-317491	purinergic receptor antagonist	P2RX3
BRD-A40302156	A-33903		
BRD-K06182768	A-366	histone lysine methyltransferase inhibitor	EHMT1|EHMT2
BRD-K00005339	A-381393	dopamine receptor antagonist	
BRD-K62066682	A-412997	dopamine receptor agonist	DRD4
BRD-K13223831	A-438079	purinergic receptor antagonist	P2RX7
BRD-K30233223	A-485	histone acetyltransferase inhibitor	
BRD-K79743788	A-582941	nicotinic receptor agonist	CHRNA7
BRD-K00004225	A-61603	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D
BRD-K78177893	A-674563	AKT inhibitor	AKT1|PKIA|PRKACA
BRD-K03301001	A-7	calmodulin antagonist	
BRD-K41918892	A-769662	AMPK activator	
BRD-K87665527	A-784168	transient receptor potential channel antagonist	TRPV1
BRD-K28570407	A-803467	sodium channel blocker	SCN10A
BRD-K94313941	A-804598	purinergic receptor antagonist	P2RX7
BRD-K76894955	A-804598	purinergic receptor antagonist	P2RX7
BRD-K60427831	A-839977	purinergic receptor antagonist	P2RX7
BRD-K33059059	A-867744	acetylcholine receptor allosteric modulator	CHRNA3|CHRNA4|CHRNA7
BRD-K20239555	A-887826	sodium channel blocker	SCN10A
BRD-K81614372	A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1
BRD-K99308908	A-939572	stearoyl-CoA desaturase inhibitor	SCD
BRD-K70744942	A-967079	transient receptor potential channel antagonist	TRPA1
BRD-K68982262	A-987306	histamine receptor antagonist	ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2
BRD-K13944729	AA-29504	GABA receptor positive allosteric modulator	GABRA1|GABRA4|GABRB3
BRD-K00003450	AAI101	lactamase inhibitor	
BRD-K00003109	AB-423	HBV capsid assembly inhibitor	
BRD-K17443395	abacavir	nucleoside reverse transcriptase inhibitor	
BRD-K77432251	abafungin	sterol methyltransferase inhibitor	
BRD-K00004970	abamectin	benzodiazepine receptor agonist	GABBR1|GABBR2
BRD-K65498798	abametapir	metalloproteinase inhibitor	MMP9
BRD-K00003158	abarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR
BRD-K00003108	ABBV-744	bromodomain inhibitor	
BRD-K01825984	ABC-294640	sphingosine kinase inhibitor	SPHK2
BRD-K33622447	abemaciclib	CDK inhibitor	CDK4|CDK6
BRD-K50071428	abiraterone	androgen biosynthesis inhibitor	CYP11B1|CYP17A1
BRD-K24048528	abiraterone-acetate	androgen biosynthesis inhibitor	CYP17A1
BRD-K00004730	ABT-072	RNA polymerase inhibitor	
BRD-A29844814	ABT-202	acetylcholine receptor agonist	
BRD-K22749967	ABT-239	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K97233161	ABT-491	platelet activating factor receptor antagonist	PTAFR
BRD-K11792081	ABT-639	calcium channel blocker	CACNA1G|CACNA1H|CACNA1I
BRD-K36021395	ABT-702	adenosine kinase inhibitor	ADK
BRD-K37714784	ABT-724	dopamine receptor agonist	DRD4
BRD-K56301217	ABT-737	BCL inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K91623615	ABT-751	tubulin polymerization inhibitor	TUBB
BRD-K00004603	ABX-1431	monoacylglycerol lipase inhibitor	
BRD-K00003394	ABX464	antiviral	
BRD-K53788420	AC-186	estrogen receptor agonist	ESR2
BRD-K31144453	AC-261066	retinoid receptor agonist	RARB
BRD-K81548480	AC-264613	PAR agonist	F2RL1
BRD-A27911617	AC-55541	PARP inhibitor	PARP2
BRD-K93176058	AC-55649	retinoid receptor agonist	RARA|RARB
BRD-K15819326	AC-710	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB
BRD-A49544621	AC-7954-(+/-)	urotensin receptor agonist	UTS2R
BRD-K53448858	acadesine	AMPK activator	
BRD-K64034691	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor	BTK
BRD-K92517771	acalisib	PI3K inhibitor	PIK3CB|PIK3CD
BRD-K26262077	acamprosate	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5
BRD-K44276885	acarbose	glucosidase inhibitor	AMY2A|MGAM
BRD-K68633617	ACDPP	glutamate receptor antagonist	GRM5
BRD-K00003255	acebilustat	leukotriene inhibitor	
BRD-A29260609	acebutolol	adrenergic receptor antagonist	ADRB1
BRD-K07753030	acecainide	polarization inhibitor	SCN5A
BRD-K01825000	aceclidine	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K68538666	aceclofenac	prostanoid receptor antagonist	PTGS2
BRD-K97417064	acedapsone		
BRD-K47195926	acedoben		
BRD-K44004064	acefylline	adenosine receptor agonist	ADORA1
BRD-K13619941	aceglutamide		
BRD-K00003531	acelarin	anticancer agent	
BRD-K67563174	acemetacin	cyclooxygenase inhibitor	PTGS1|PTGS2
BRD-K36262466	aceneuramic-acid		CES1|SELE|SELP
BRD-A65051990	acenocoumarol	vitamin K antagonist	VKORC1
BRD-K37814297	acepromazine	dopamine receptor antagonist	ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A
BRD-K50850824	acesulfame-potassium		
BRD-K11094367	acetanilide	hydrogen peroxide decomposition inhibitor	
BRD-K99048103	acetarsol		
BRD-K43457670	acetazolamide	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K52960356	acetohexamide	ATP channel blocker	ABCC8|KCNJ1|KCNJ10|KCNJ11
BRD-K21615095	acetohydroxamic-acid	urease inhibitor	MMP12
BRD-K42938903	acetophenazine	dopamine receptor antagonist	DRD1|DRD2
BRD-K46416130	acetriazoic-acid		
BRD-K79437791	acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG
BRD-K27406233	acetyl-l-leucine		
BRD-A44696962	acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor	HSD11B1|HSD11B2
BRD-K82381502	acetylcholine	acetylcholine receptor agonist	ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2
BRD-K59058747	acetylcysteine	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K46585355	acetylsalicylsalicylic-acid	cyclooxygenase inhibitor	
BRD-K00004968	acetylspiramycin	other antibiotic	
BRD-K72215350	acexamic-acid	5 alpha reductase inhibitor	GAST
BRD-A29520968	acifran	cholesterol inhibitor	HCAR2|HCAR3
BRD-K63736853	acipimox	cholesterol inhibitor	HCAR2
BRD-K74236708	acitazanolast	mediator release inhibitor	
BRD-K62012036	acitretin	retinoid receptor agonist	RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3
BRD-K13050541	acivicin	gamma glutamyltransferase inhibitor	CTPS1
BRD-K31965398	aclarubicin	topoisomerase inhibitor	TOP1|TOP2A
BRD-K74363950	aclidinium	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K00004720	acolbifene	estrogen receptor antagonist	
BRD-K00003303	acoziborole	antitrypanosomal	
BRD-K66465025	ACPC	glutamate receptor antagonist	
BRD-M87138257	acriflavine	hypoxia inducible factor inhibitor	HIF1A
BRD-K97874492	acriflavinium	hypoxia inducible factor inhibitor	HIF1A
BRD-M49658242	acrisorcin	other antifungal	
BRD-K50163129	acrivastine	histamine receptor antagonist	HRH1
BRD-M00184283	acrylate	mucus protecting agent	
BRD-K34843150	ACT-132577	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K19781342	ACT-462206	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K33483813	actarit	interleukin receptor agonist	
BRD-K35936936	ACTB-1003	FGFR inhibitor|VEGFR inhibitor	KDR|TEK
BRD-K16547679	actinomycin-d	RNA polymerase inhibitor	
BRD-K08837089	actinoquinol		
BRD-K00003220	acumapimod	p38 MAPK inhibitor	
BRD-K82928847	ACY-1215	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K32318651	acyclovir	DNA polymerase inhibitor	PNP
BRD-K10226125	AC1NDSS5		
BRD-K00004583	AC260584	cholinergic receptor agonist	
BRD-A80280426	AD-5467	aldose reductase inhibitor	AKR1B1
BRD-K33127281	adapalene	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-A73427433	adaprev	TGF beta receptor inhibitor	AKR1B1|GPI|HK1|M6PR|PYGM
BRD-K37151368	adaptavir	CC chemokine receptor antagonist	CCR5
BRD-K00152668	adarotene	retinoid receptor agonist	RARB|RARG
BRD-K67789209	adatanserin	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K00003499	adavivint	WNT pathway inhibitor	
BRD-K43055376	ADD-233089	benzodiazepine receptor agonist	
BRD-K77484724	adefovir	DNA polymerase inhibitor	
BRD-K96159438	adefovir-dipivoxil	DNA polymerase inhibitor	
BRD-K78097265	adelmidrol	anti-inflammatory agent	
BRD-K78185697	ademetionine	methyltransferase stimulant|phosphodiesterase inhibitor	
BRD-K26060080	adenine	protein synthesis stimulant	ACACB|ACP1|APRT|MTAP|PECR|SRPK2
BRD-K01577834	adenosine	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K85767870	adenosine-phosphate	adenosine receptor agonist	ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4
BRD-K00003709	adenosine-triphosphate	adenosine receptor agonist	ABCA1|ABCB1|ABCB11|ABCC2|ABCC8|ABCC9|ABCG1|ABL1|ABL2|ACSL1|ACSS1|ACSS2|ACVR1|ACVR1B|ACVRL1|ADCY1|ADRBK1|ADRBK2|AFG3L2|AKT1|ALK|AMHR2|APAF1|ARAF|ASNA1|ASNS|ASS1|CDK15|GPR17|ITPR1|NAE1|NT5C2|P2RY1|P2RY11|P2RY13|P2RY2|P2RY4|PRKAA1|RYR1|RYR2|RYR3|SLC25A4|TNK2|TRPM4|TRPM7
BRD-K60907894	adiphenine	acetylcholine receptor antagonist	CHRNA1
BRD-K10656395	adipic-acid	solute carrier family member inhibitor	SLC22A6
BRD-K68810443	adiporon	adiponectin receptor agonist	ADIPOR1|ADIPOR2
BRD-K39624409	ADL5859	opioid receptor agonist	OPRD1
BRD-K00003302	adomeglivant	glucagon receptor antagonist	
BRD-K34870043	adoprazine	dopamine receptor antagonist|serotonin receptor agonist	DRD2|HTR1A
BRD-A90926615	adrafinil	adrenergic receptor agonist	
BRD-K82343404	adrenalone	adrenergic receptor agonist	ADRA1A
BRD-K17368287	adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1|HSD11B2
BRD-K77911775	ADX-10059	glutamate receptor negative allosteric modulator	GRM5
BRD-K56543881	ADX-47273	glutamate receptor modulator	GRM5
BRD-K40718343	AEE788	EGFR inhibitor|VEGFR inhibitor	EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR
BRD-K77634909	AEG3482	HSP inducer	
BRD-K53205568	afalanine	dopamine receptor agonist	DRD2
BRD-K00003330	afamelanotide	melanocyte-stimulating hormone mimetic	
BRD-K66175015	afatinib	EGFR inhibitor	EGFR|ERBB2|ERBB4
BRD-K04210847	afimoxifene	estrogen receptor antagonist	ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ
BRD-K69247067	afloqualone	acetylcholine receptor antagonist	
BRD-K23791635	AFN-1252	FABI inhibitor	
BRD-K37793595	afobazole	anxiolytic	
BRD-K47816470	AF38469	sortilin inhibitor	SORT1
BRD-K08310154	AG-1024	insulin growth factor receptor inhibitor	IGF1R
BRD-K00615600	AG-14361	PARP inhibitor	PARP1
BRD-K47105409	AG-490	EGFR inhibitor|JAK inhibitor	EGFR|JAK2|JAK3
BRD-K34428485	AG-555	tyrosine kinase inhibitor	CDK2
BRD-K81048131	AG-556	tyrosine kinase inhibitor	
BRD-A56371469	AGI-5198	isocitrate dehydrogenase inhibitor	IDH1
