InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
AAALVYBICLMAMA,BRD-K13087974,,CGP-52411,BRD-K13087974,,CGP-52411,BRD-K13087974,,CGP-52411,BRD-K13087974,,CGP-52411
AAAQFGUYHFJNHI,BRD-K08109215,,I-BET-762,BRD-K08109215,,I-BET-762,BRD-K08109215,,I-BET-762,BRD-K08109215,,I-BET-762
AADCDMQTJNYOSS,BRD-K50417881,,eticlopride,BRD-K50417881,,eticlopride,BRD-K50417881,,eticlopride,BRD-K50417881,,eticlopride
AAFJXZWCNVJTMK,BRD-K68502831,,dianhydrogalactitol,BRD-K68502831,,dianhydrogalactitol,BRD-K68502831,,dianhydrogalactitol,BRD-K68502831,,dianhydrogalactitol
AAGFPTSOPGCENQ,BRD-K10999968|BRD-K66845263,,sophocarpine,BRD-K10999968|BRD-K66845263,,sophocarpine,BRD-K66845263,BRD-K10999968,sophocarpine,BRD-K66845263,BRD-K10999968,sophocarpine
AAKJLRGGTJKAMG,BRD-K70401845,,erlotinib,BRD-K70401845,,erlotinib,BRD-K70401845,,erlotinib,BRD-K70401845,,erlotinib
AAORACFZMYMFCG,BRD-K49236613,,6-iodo-nordihydrocapsaicin,BRD-K49236613,,6-iodo-nordihydrocapsaicin,BRD-K49236613,,6-iodo-nordihydrocapsaicin,BRD-K49236613,,6-iodo-nordihydrocapsaicin
AAOVKJBEBIDNHE,BRD-K16508793,,diazepam,BRD-K16508793,,diazepam,BRD-K16508793,,diazepam,,,
AAQOQKQBGPPFNS,BRD-K49669424,,bretylium,BRD-K49669424,,bretylium,BRD-K49669424,,bretylium,BRD-K49669424,,bretylium
ABBADGFSRBWENF,BRD-K08310154,,AG-1024,BRD-K08310154,,AG-1024,BRD-K08310154,,AG-1024,BRD-K08310154,,AG-1024
ABJKWBDEJIDSJZ,BRD-K90630139,,butenafine,BRD-K90630139,,butenafine,BRD-K90630139,,butenafine,BRD-K90630139,,butenafine
ACAKNPKRLPMONU,BRD-K81572616,,CK-636,BRD-K81572616,,CK-636,BRD-K81572616,,CK-636,BRD-K81572616,,CK-636
