!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
(1E)-1-(2-hydroxy-5-methylphenyl)-1-dodecanone oxime	Preclinical		
A-317491	Preclinical	purinergic receptor antagonist	P2RX3
A-33903	Phase 2		
A-366	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2
A-674563	Preclinical	AKT inhibitor	AKT1|PKIA|PRKACA
A-7	Preclinical	calmodulin antagonist	
A-769662	Preclinical	AMPK activator	
A-803467	Preclinical	sodium channel blocker	SCN10A
abacavir	Launched	nucleoside reverse transcriptase inhibitor	
abafungin	Phase 3	sterol methyltransferase inhibitor	
abamectin	Launched	benzodiazepine receptor agonist	GABBR1|GABBR2
abametapir	Phase 3	metalloproteinase inhibitor	MMP9
ABC-294640	Phase 1/Phase 2	sphingosine kinase inhibitor	SPHK2
abiraterone	Launched	androgen biosynthesis inhibitor	CYP11B1|CYP17A1
abiraterone-acetate	Launched	androgen biosynthesis inhibitor	CYP17A1
ABT-202	Phase 1	acetylcholine receptor agonist	
ABT-239	Phase 1	histamine receptor antagonist	HRH1|HRH2|HRH3
ABT-491	Phase 1	platelet activating factor receptor antagonist	PTAFR
ABT-639	Phase 2	calcium channel blocker	CACNA1G|CACNA1H|CACNA1I
ABT-702	Preclinical	adenosine kinase inhibitor	ADK
ABT-724	Phase 2	dopamine receptor agonist	DRD4
ABT-737	Phase 1/Phase 2	BCL inhibitor	BCL2|BCL2L1|BCL2L2
ABT-751	Phase 2	tubulin polymerization inhibitor	TUBB
AC-264613	Preclinical	PAR agonist	F2RL1
AC-55541	Preclinical	PARP inhibitor	PARP2
AC-55649	Preclinical	retinoid receptor agonist	RARA|RARB
AC-7954-(+/-)	Preclinical	urotensin receptor agonist	UTS2R
acadesine	Phase 3	AMPK activator	
acalabrutinib	Phase 3	Bruton's tyrosine kinase (BTK) inhibitor	BTK
acalisib	Phase 1	PI3K inhibitor	PIK3CB|PIK3CD
acamprosate	Launched	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5
acarbose	Launched	glucosidase inhibitor	AMY2A|GAA|MGAM|SI
ACDPP	Preclinical	glutamate receptor antagonist	GRM5
acebutolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2
acecainide	Phase 3	polarization inhibitor	SCN5A
aceclidine	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
aceclofenac	Launched	prostanoid receptor antagonist	PTGS2
acedapsone	Launched		
acedoben	Phase 2		
acefylline	Launched	adenosine receptor agonist	ADORA1
aceglutamide	Launched		
acemetacin	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
aceneuramic-acid	Phase 3		AZGP1|CES1|MBL2|REG1A|SELE|SELP|SIGLEC1
acenocoumarol	Launched	vitamin K antagonist	VKORC1
acepromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A
acesulfame-potassium	Phase 3		
acetanilide	Preclinical	hydrogen peroxide decomposition inhibitor	
acetarsol	Launched		
acetazolamide	Launched	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
acetohexamide	Launched	ATP channel blocker	ABCC8|KCNJ1|KCNJ10|KCNJ11
acetohydroxamic-acid	Launched	urease inhibitor	MMP12
acetophenazine	Launched	dopamine receptor antagonist	DRD1|DRD2
acetriazoic-acid	Preclinical		
acetyl-farnesyl-cysteine	Launched	methyltransferase inhibitor	PPARG
acetyl-l-leucine	Launched		
acetyl-11-keto-beta-boswellic-acid	Phase 2	lipoxygenase inhibitor	HSD11B1|HSD11B2
acetylcholine	Launched	acetylcholine receptor agonist	ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2
acetylcysteine	Launched	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
acetylsalicylsalicylic-acid	Preclinical	cyclooxygenase inhibitor	
acexamic-acid	Launched	5 alpha reductase inhibitor	GAST
acifran	Phase 3	cholesterol inhibitor	HCAR2|HCAR3
acipimox	Launched	cholesterol inhibitor	HCAR2
acitazanolast	Launched	mediator release inhibitor	
acitretin	Launched	retinoid receptor agonist	RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3
acivicin	Phase 2	gamma glutamyltransferase Inhibitors	CTPS1
aclarubicin	Launched	topoisomerase inhibitor	TOP1|TOP2A
aclidinium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
ACPC	Phase 1	glutamate receptor antagonist	
acriflavine	Launched	hypoxia inducible factor inhibitor	HIF1A
acriflavinium	Launched	hypoxia inducible factor inhibitor	HIF1A
acrisorcin	Launched	other antifungal	
acrivastine	Launched	histamine receptor antagonist	HRH1
acrylate	Phase 3	mucus protecting agent	
ACT-132577	Launched	endothelin receptor antagonist	EDNRA|EDNRB
ACT-462206	Phase 1	orexin receptor antagonist	HCRTR1|HCRTR2
actarit	Launched	interleukin receptor agonist	
ACTB-1003	Phase 1	FGFR inhibitor|VEGFR inhibitor	KDR|TEK
actinomycin-d	Launched	RNA polymerase inhibitor	
actinoquinol	Preclinical		
ACY-1215	Phase 1/Phase 2	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
acyclovir	Launched	DNA polymerase inhibitor	PNP
AC1NDSS5	Phase 1		
AD-5467	Phase 2	aldose reductase inhibitor	AKR1B1
adapalene	Launched	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
adaprev	Phase 3	TGF beta receptor inhibitor	IGF2R|M6PR
adaptavir	Phase 2	CC chemokine receptor antagonist	CCR5
adarotene	Phase 1	retinoid receptor agonist	RARB|RARG
adatanserin	Phase 2	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
ADD-233089	Phase 1	benzodiazepine receptor agonist	
adefovir	Launched	DNA polymerase inhibitor	
adefovir-dipivoxil	Launched	DNA polymerase inhibitor	
adelmidrol	Phase 2/Phase 3	anti-inflammatory agent	
ademetionine	Launched	methyltransferase stimulant|phosphodiesterase inhibitor	AMD1|CBS|COMT|GNMT|MAT1A|MAT2A
adenine	Preclinical	protein synthesis stimulant	ACACB|ACP1|APRT|MTAP|PECR|SRPK2
adenosine	Launched	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
adenosine-phosphate	Launched	adenosine receptor agonist	ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4
