!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease
(R)-(-)-rolipram	Phase 1	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D|PDE5A		
(R)-baclofen	Phase 3	benzodiazepine receptor agonist	GABBR1|GABBR2		
(S)-(+)-rolipram	Phase 1	phosphodiesterase inhibitor	PDE4B|PDE4D		
"[sar9,met(o2)11]-substance-p"	Preclinical	tachykinin antagonist	TACR1		
A-1070722	Preclinical	glycogen synthase kinase inhibitor	GSK3A|GSK3B		
A-1120	Preclinical	retinoid receptor ligand	RBP4		
A-317491	Preclinical	purinergic receptor antagonist	P2RX3		
A-33903	Phase 2				
A-366	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
A-381393	Preclinical	dopamine receptor antagonist			
A-412997	Preclinical	dopamine receptor agonist	DRD4		
A-438079	Preclinical	purinergic receptor antagonist	P2RX7		
A-485	Preclinical	histone acetyltransferase inhibitor			
A-582941	Preclinical	nicotinic receptor agonist	CHRNA7		
A-61603	Preclinical	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D		
A-674563	Preclinical	AKT inhibitor	AKT1|PKIA|PRKACA		
A-7	Preclinical	calmodulin antagonist			
A-769662	Preclinical	AMPK activator			
A-784168	Preclinical	transient receptor potential channel antagonist	TRPV1		
